2021-08-16 23:42:32 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 140 stopped.
2021-08-16 23:42:32 - DEBUG   :: Thread-16 : Tautulli ActivityProcessor :: Fetching metadata for item ratingKey 14825
2021-08-16 23:42:32 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Removing sessionKey 140 ratingKey 14825 from session queue
2021-08-16 23:42:34 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 141 started by user 78036743 (Slenderman783) with ratingKey 14826 (you broke me first - Tate McRae).
2021-08-16 23:45:02 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 141 watched.
2021-08-16 23:45:22 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 141 stopped.
2021-08-16 23:45:22 - DEBUG   :: Thread-16 : Tautulli ActivityProcessor :: Fetching metadata for item ratingKey 14826
2021-08-16 23:45:22 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Removing sessionKey 141 ratingKey 14826 from session queue
2021-08-16 23:45:23 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 142 started by user 78036743 (Slenderman783) with ratingKey 14827 (my future - Billie Eilish).
2021-08-16 23:46:59 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 142 stopped.
2021-08-16 23:46:59 - DEBUG   :: Thread-16 : Tautulli ActivityProcessor :: Fetching metadata for item ratingKey 14827
2021-08-16 23:46:59 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Removing sessionKey 142 ratingKey 14827 from session queue
2021-08-16 23:47:00 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 143 started by user 78036743 (Slenderman783) with ratingKey 14730 (MONTERO (Call Me By Your Name) - Lil Nas X).
2021-08-16 23:47:01 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 143 stopped.
2021-08-16 23:47:01 - DEBUG   :: Thread-16 : Tautulli ActivityProcessor :: Play duration for session 143 ratingKey 14730 is 1 secs, looks like it was skipped so we're not logging it
2021-08-16 23:47:01 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Removing sessionKey 143 ratingKey 14730 from session queue
2021-08-16 23:47:03 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 144 started by user 78036743 (Slenderman783) with ratingKey 14544 (7 Rings - Ariana Grande).
2021-08-16 23:49:42 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 144 watched.
2021-08-16 23:50:00 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 144 stopped.
2021-08-16 23:50:00 - DEBUG   :: Thread-16 : Tautulli ActivityProcessor :: Fetching metadata for item ratingKey 14544
2021-08-16 23:50:00 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Removing sessionKey 144 ratingKey 14544 from session queue
2021-08-16 23:50:02 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 145 started by user 78036743 (Slenderman783) with ratingKey 14545 (Sweet but Psycho - Ava Max).
2021-08-16 23:52:24 - DEBUG   :: CP Server Thread-7 : Tautulli PlexTV :: Plex Pass subscription not found.
2021-08-16 23:52:25 - INFO    :: CP Server Thread-7 : Tautulli Config :: Writing configuration to file
2021-08-16 23:52:40 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 145 watched.
